atom,s1,s2,p1,p2,p3,p4,p5,p6,d1,d2,d3,d4,d5
Ba,-0.654651,0.465673,-0.106107,-0.106107,-0.106107,0.544927,0.544927,0.544927,0.528642,0.528642,0.528642,0.528643,0.528643
Be,-3.320736,0.37377,0.535806,0.535806,0.535806,0.535806,0.535806,0.535806,,,,,
Br,-0.1559825,0.970523,0.27544,0.3014085,0.305788,0.8698975,0.884149,0.886295,1.056839,1.0627,1.063172,1.082857,1.0897455
Ca,-1.175574,0.447332,-0.450271,-0.450271,-0.450271,0.543218,0.543218,0.543218,0.520173,0.520173,0.520174,0.520174,0.520174
Cl,-0.1765805,1.6594425,0.2458855,0.2752645,0.282492,0.8832615,0.8988385,0.903245,0.964056,0.9705405,0.9729885,0.995188,1.0045695
Cs,-0.402258,0.5102785,0.0820835,0.0820835,0.0820835,0.56831,0.5683105,0.5683105,0.6776065,0.6776065,0.677607,0.677736,0.677736
F,-0.5090545,1.668666,0.1412115,0.188768,0.2139685,1.0578505,1.078393,1.093881,2.214639,2.222314,2.2246545,2.2498115,2.259874
I,-0.0538455,3.5461875,0.3061785,0.3284385,0.3310005,0.791897,0.7947265,0.800198,0.8088835,0.824191,0.828695,0.828695,0.828695
K,-0.7287935,0.507683,-0.1100545,-0.1100545,-0.1100545,0.577126,0.577127,0.577127,0.627365,0.627365,0.627365,0.628099,0.6280995
Li,-1.3211235,0.5144325,0.6269615,0.6269615,0.6269615,0.6269615,0.6269615,0.6269615,,,,,
Mg,-2.351479,0.406054,-1.128465,-1.128465,-1.128465,0.557294,0.557294,0.557294,,,,,
Na,-1.5067635,0.5049185,-0.4615325,-0.4615325,-0.4615325,0.599611,0.5996115,0.599613,,,,,
O,-0.2824605,1.4586675,0.19704,0.279787,0.3227285,1.054154,1.099958,1.1366215,2.01126,2.020336,2.024813,2.074323,2.090569
Rb,-0.5962525,0.506039,-0.0073365,-0.0073365,-0.0073365,0.5736285,0.5736285,0.5736285,0.610019,0.610019,0.610019,0.611285,0.611285
S,-0.050343,1.110639,0.297294,0.339843,0.339843,0.861595,0.88736,0.88736,0.947536,0.949111,0.949111,0.986206,0.986206
Se,-0.052204,1.906593,0.316416,0.357761,0.357761,0.877537,0.904774,0.904775,0.887617,0.888284,0.888284,0.920722,0.920722
Sr,-0.908342,0.464775,-0.237427,-0.237427,-0.237427,0.553492,0.553492,0.553492,0.566315,0.566315,0.566315,0.566315,0.566315
Te,0.026071,1.153572,0.337015,0.374181,0.374181,0.78865,0.812059,0.81206,0.81821,0.818899,0.818901,0.848209,0.848212
