"mol","anion","cation","energy_occ_s","energy_unocc_s","splitting_s","diff_s","delta_s","deltar_s","energy_occ_p","energy_unocc_p","splitting_p","diff_p","delta_p","deltar_p"
"Ag_Br","Br","Ag",-0.412263,0.106374,0.518637,0.023389,0.495248,21.1743982213861,0.088503,0.334596,0.246093,0.224502,0.021591,0.0961728626025605
"Ag_Cl","Cl","Ag",-0.416984,0.108807,0.525791,0.010578,0.515213,48.7060881073928,0.089161,0.367178,0.278017,0.231837,0.0461799999999999,0.199191673460233
"Ag_F","F","Ag",-0.694323,0.042536,0.736859,0.176472,0.560387,3.1755009293259,0.058884,0.513881,0.454997,0.313422,0.141575,0.451707282832731
"Ag_I","I","Ag",-0.328492,0.134008,0.4625,0.0346219999999999,0.427878,12.3585581422217,0.10531,0.29815,0.19284,0.208792,-0.015952,-0.0764013946894515
"Al_As","As","Al",-0.252403,0.242707,0.49511,0.158936,0.336174,2.11515326924045,0.173189,0.308759,0.13557,0.586719,-0.451149,-0.768935384741248
"Al_N","N","Al",-0.275773,0.420038,0.695811,0.313815,0.381996,1.21726494909421,0.286503,0.689161,0.402658,0.831451,-0.428793,-0.515716500431174
"Al_P","P","Al",-0.227805,0.304443,0.532248,0.216368,0.31588,1.45992013606448,0.192412,0.336892,0.14448,0.617542,-0.473062,-0.766040204552889
"Al_Sb","Sb","Al",-0.227426,0.199345,0.426771,0.107632,0.319139,2.96509402408205,0.151907,0.251294,0.099387,0.494359,-0.394972,-0.798957842377705
"Au_Br","Br","Au",0.068128,0.733279,0.665151,0.0499780000000001,0.615173,12.3088759053984,0.094487,0.070151,-0.024336,0.235719,-0.260055,-1.10324157153221
"Au_Cl","Cl","Au",0.071675,0.828259,0.756584,0.0627890000000001,0.693795,11.0496265269394,0.085025,0.064792,-0.020233,0.243054,-0.263287,-1.08324487562435
"Au_F","F","Au",0.000837,1.031985,1.031148,0.103105,0.928043,9.00095048736725,-0.144786,0.527207,0.671993,0.324639,0.347354,1.06997002824676
"Au_I","I","Au",0.108973,0.703348,0.594375,0.107989,0.486386,4.5040328181574,0.13061,0.105527,-0.025083,0.220009,-0.245092,-1.11400897236022
"B_As","As","B",-0.280761,0.467993,0.748754,2.247845,-1.499091,-0.66690141001715,0.290501,0.397666,0.107165,2.309723,-2.202558,-0.953602661444684
"B_N","N","B",-0.345439,4.42866,4.774099,2.402724,2.371375,0.986952725323424,0.258894,0.540074,0.28118,2.554455,-2.273275,-0.889925639715712
"B_P","P","B",-0.245823,0.620665,0.866488,2.305277,-1.438789,-0.624128466991169,0.336911,0.442944,0.106033,2.340546,-2.234513,-0.954697322761441
"B_Sb","Sb","B",-0.236645,0.389888,0.626533,2.196541,-1.570008,-0.714763803634897,0.273054,0.358899,0.085845,2.217363,-2.131518,-0.961285094050906
"Ba_O","O","Ba",-0.383724,0.260796,0.64452,1.707464,-1.062944,-0.622527912740766,0.118738,0.888158,0.76942,0.818393,-0.0489729999999998,-0.0598404434055519
"Ba_S","S","Ba",-0.27966,0.183888,0.463548,1.658406,-1.194858,-0.720485815897916,0.055207,0.489495,0.434288,0.596077,-0.161789,-0.271422987298621
"Ba_Se","Se","Ba",-0.307417,0.162598,0.470015,1.629522,-1.159507,-0.711562654569868,0.046017,0.436297,0.39028,0.582284,-0.192004,-0.329742874611015
"Ba_Te","Te","Ba",-0.262286,0.147735,0.410021,1.61292,-1.202899,-0.745789623787913,0.037461,0.359629,0.322168,0.513281,-0.191113,-0.372336010879031
"Be_O","O","Be",-0.409029,0.515284,0.924313,4.628511,-3.704198,-0.80030013972096,0.29989,0.733896,0.434006,0.985479,-0.551473,-0.559598936151861
"Be_S","S","Be",-0.292372,0.407975,0.700347,4.579453,-3.879106,-0.847067542782948,0.210683,0.391774,0.181091,0.763163,-0.582072,-0.762709932216316
"Be_Se","Se","Be",-0.307235,0.340162,0.647397,4.550569,-3.903172,-0.857732736279793,0.192244,0.350573,0.158329,0.74937,-0.591041,-0.788717189105515
"Be_Te","Te","Be",-0.258777,0.319686,0.578463,4.533967,-3.955504,-0.872415701305281,0.184897,0.306577,0.12168,0.680367,-0.558687,-0.821155347040641
"Ca_O","O","Ca",-0.40315,0.261356,0.664506,2.334559,-1.670053,-0.71536123096482,0.115767,0.848368,0.732601,0.881422,-0.148821,-0.168841939502304
"Ca_S","S","Ca",-0.287568,0.201029,0.488597,2.285501,-1.796904,-0.786218864047751,0.065063,0.456613,0.39155,0.659106,-0.267556,-0.4059377399083
"Ca_Se","Se","Ca",-0.311537,0.174912,0.486449,2.256617,-1.770168,-0.784434398925471,0.058083,0.405383,0.3473,0.645313,-0.298013,-0.461811555012839
"Ca_Te","Te","Ca",-0.265664,0.162855,0.428519,2.240015,-1.811496,-0.808698156039134,0.051835,0.329781,0.277946,0.57631,-0.298364,-0.517714424528466
"Cd_O","O","Cd",0.10789,1.433471,1.325581,0.622369,0.703212,1.12989560855377,0.121446,0.087007,-0.034439,0.884964,-0.919403,-1.03891570730561
"Cd_S","S","Cd",-0.268587,0.168512,0.437099,0.573311,-0.136212,-0.237588324661484,0.167773,0.362284,0.194511,0.662648,-0.468137,-0.706464065386148
"Cd_Se","Se","Cd",-0.312832,0.110096,0.422928,0.544427,-0.121499,-0.223168579074881,0.135018,0.30966,0.174642,0.648855,-0.474213,-0.730845874656125
