mol,anion,cation,energy_occ_s,energy_unocc_s,splitting_s,diff_s,delta_s,deltar_s,energy_occ_p,energy_unocc_p,splitting_p,diff_p,delta_p,deltar_p,gap
Ag_Br,Br,Ag,-0.364313,0.148336,0.512649,0.023389,0.48926,20.91838044,0.100678,0.533766,0.433088,0.224502,0.208586,0.929105309,0.047658
Ag_Cl,Cl,Ag,-0.364037,0.170147,0.534184,0.010578,0.523606,49.49952732,0.099436,0.608962,0.509526,0.231837,0.277689,1.197776886,0.070711
Ag_F,F,Ag,-0.613737,0.101784,0.715521,0.176472,0.539049,3.054586563,0.073291,0.750163,0.676872,0.313422,0.36345,1.159618661,0.028493
Ag_I,I,Ag,-0.278346,0.191448,0.469794,0.034622,0.435172,12.56923344,0.134507,0.501377,0.36687,0.208792,0.158078,0.757107552,0.056941
Al_As,As,Al,-0.223647,0.326423,0.55007,0.158936,0.391134,2.460952836,0.266206,0.54324,0.277034,0.586719,-0.309685,-0.527825075,0.060217
Al_N,N,Al,-0.222576,0.635784,0.85836,0.313815,0.544545,1.735242101,0.455484,1.046754,0.59127,0.831451,-0.240181,-0.288869699,0.1803
Al_P,P,Al,-0.195072,0.420578,0.61565,0.216368,0.399282,1.845383791,0.301938,0.613295,0.311357,0.617542,-0.306185,-0.495812431,0.11864
Al_Sb,Sb,Al,-0.201239,0.279048,0.480287,0.107632,0.372655,3.462306749,0.232279,0.460445,0.228166,0.494359,-0.266193,-0.538460916,0.046769
Au_Br,Br,Au,-0.33408,0.139538,0.473618,0.049978,0.42364,8.476529673,0.139534,0.601402,0.461868,0.235719,0.226149,0.959400812,4E-06
Au_Cl,Cl,Au,-0.340015,0.144414,0.484429,0.062789,0.42164,6.715188966,0.127424,0.654841,0.527417,0.243054,0.284363,1.169958116,0.01699
Au_F,F,Au,-0.587228,0.075957,0.663185,0.103105,0.56008,5.432132292,0.101854,0.78127,0.679416,0.324639,0.354777,1.092835426,-0.025897
Au_I,I,Au,-0.252948,0.187517,0.440465,0.107989,0.332476,3.078795062,0.173252,0.559645,0.386393,0.220009,0.166384,0.756259971,0.014265
B_As,As,B,-0.262782,0.485253,0.748035,2.247845,-1.49981,-0.667221272,0.336498,0.631637,0.295139,2.309723,-2.014584,-0.872218876,0.148755
B_N,N,B,-0.334208,0.841983,1.176191,2.402724,-1.226533,-0.510476026,0.473338,0.926115,0.452777,2.554455,-2.101678,-0.822750058,0.368645
B_P,P,B,-0.228942,0.659074,0.888016,2.305277,-1.417261,-0.614789893,0.400749,0.725312,0.324563,2.340546,-2.015983,-0.86133022,0.258325
B_Sb,Sb,B,-0.216513,0.445348,0.661861,2.196541,-1.53468,-0.698680334,0.321813,0.585911,0.264098,2.217363,-1.953265,-0.88089546,0.123535
Ba_O,O,Ba,-0.18435,0.394029,0.578379,1.707464,-1.129085,-0.661264308,0.344923,1.269959,0.925036,0.818393,0.106643,0.130307811,0.049106
Ba_S,S,Ba,-0.138291,0.313417,0.451708,1.658406,-1.206698,-0.727625202,0.226025,0.936779,0.710754,0.596077,0.114677,0.192386219,0.087392
Ba_Se,Se,Ba,-0.170009,0.281941,0.45195,1.629522,-1.177572,-0.722648728,0.209451,0.822401,0.61295,0.582284,0.030666,0.052665023,0.07249
Ba_Te,Te,Ba,-0.137876,0.26879,0.406666,1.61292,-1.206254,-0.747869702,0.19435,0.685476,0.491126,0.513281,-0.022155,-0.043163491,0.07444
