label,atom1,atom2,nbr,gap
Ag_Br,Ag,Br,6,0.047658
Ag_Cl,Ag,Cl,6,0.070711
Ag_F,Ag,F,6,0.028493
Ag_I,Ag,I,6,0.056941
Al_As,Al,As,6,0.060217
Al_N,Al,N,6,0.1803
Al_P,Al,P,6,0.11864
Al_Sb,Al,Sb,6,0.046769
Au_Br,Au,Br,6,4.00E-06
Au_Cl,Au,Cl,6,0.01699
Au_F,Au,F,6,-0.025897
Au_I,Au,I,6,0.014265
B_As,B,As,6,0.148755
B_N,B,N,6,0.368645
B_P,B,P,6,0.258325
B_Sb,B,Sb,6,0.123535
Ba_O,Ba,O,6,0.049106
Ba_S,Ba,S,6,0.087392
Ba_Se,Ba,Se,6,0.07249
Ba_Te,Ba,Te,6,0.07444
Be_O,Be,O,6,0.268681
Be_S,Be,S,6,0.199826
Be_Se,Be,Se,6,0.138276
Be_Te,Be,Te,6,0.124387
Ca_O,Ca,O,6,0.088703
Ca_S,Ca,S,6,0.114966
Ca_Se,Ca,Se,6,0.087896
Ca_Te,Ca,Te,6,0.089038
Cd_O,Cd,O,6,-0.043714
Cd_S,Cd,S,6,0.027057
Cd_Se,Cd,Se,6,-0.004413
Cd_Te,Cd,Te,6,0.005833
Cs_Br,Cs,Br,6,0.136349
Cs_Cl,Cs,Cl,6,0.147382
Cs_F,Cs,F,6,0.165515
Cs_I,Cs,I,6,0.118184
Cu_Br,Cu,Br,6,0.070425
Cu_Cl,Cu,Cl,6,0.103256
Cu_F,Cu,F,6,0.051431
Cu_I,Cu,I,6,0.074064
Ga_As,Ga,As,6,1.077514
Ga_N,Ga,N,6,0.066021
Ga_P,Ga,P,6,0.045344
Ga_Sb,Ga,Sb,6,1.088337
Hg_O,Hg,O,6,1.83324
Hg_S,Hg,S,6,-0.027583
Hg_Se,Hg,Se,6,0.677348
Hg_Te,Hg,Te,6,0.494696
In_As,In,As,6,1.215716
In_N,In,N,6,-0.010645
In_P,In,P,6,1.632035
In_Sb,In,Sb,6,1.147289
K_Br,K,Br,6,0.128548
K_Cl,K,Cl,6,0.145871
K_F,K,F,6,0.163054
K_I,K,I,6,0.114855
Li_Br,Li,Br,6,0.159229
Li_Cl,Li,Cl,6,0.207226
Li_F,Li,F,6,0.262086
Li_I,Li,I,6,0.143269
Mg_O,Mg,O,6,0.107864
Mg_S,Mg,S,6,0.113955
Mg_Se,Mg,Se,6,0.071453
Mg_Te,Mg,Te,6,0.06386
Na_Br,Na,Br,6,0.120492
Na_Cl,Na,Cl,6,0.148678
Na_F,Na,F,6,0.161254
Na_I,Na,I,6,0.110057
Rb_Br,Rb,Br,6,0.12575
Rb_Cl,Rb,Cl,6,0.142452
Rb_F,Rb,F,6,0.156196
Rb_I,Rb,I,6,0.112942
Sr_O,Sr,O,6,0.051645
Sr_S,Sr,S,6,0.093508
Sr_Se,Sr,Se,6,0.071649
Sr_Te,Sr,Te,6,0.076714
Tl_As,Tl,As,6,1.503992
Tl_N,Tl,N,6,2.590326
Tl_P,Tl,P,6,1.681613
Tl_Sb,Tl,Sb,6,1.113858
Zn_O,Zn,O,6,0.007946
Zn_S,Zn,S,6,0.062338
Zn_Se,Zn,Se,6,0.01865
Zn_Te,Zn,Te,6,0.022867
