label,atom1,atom2,nbr,gap
Ag_Br,Ag,Br,4,0.017871
Ag_Cl,Ag,Cl,4,0.019646
Ag_F,Ag,F,4,-0.016348
Ag_I,Ag,I,4,0.028698
Al_As,Al,As,4,0.069518
Al_N,Al,N,4,0.133535
Al_P,Al,P,4,0.112031
Al_Sb,Al,Sb,4,0.047438
Au_Br,Au,Br,4,0.638792
Au_Cl,Au,Cl,4,0.743234
Au_F,Au,F,4,1.176771
Au_I,Au,I,4,0.572738
B_As,B,As,4,0.177492
B_N,B,N,4,4.169766
B_P,B,P,4,0.283754
B_Sb,B,Sb,4,0.116834
Ba_O,Ba,O,4,0.142058
Ba_S,Ba,S,4,0.128681
Ba_Se,Ba,Se,4,0.116581
Ba_Te,Ba,Te,4,0.110274
Be_O,Be,O,4,0.215394
Be_S,Be,S,4,0.197292
Be_Se,Be,Se,4,0.147918
Be_Te,Be,Te,4,0.134789
Ca_O,Ca,O,4,0.145589
Ca_S,Ca,S,4,0.135966
Ca_Se,Ca,Se,4,0.116829
Ca_Te,Ca,Te,4,0.11102
Cd_O,Cd,O,4,1.312025
Cd_S,Cd,S,4,0.000739
Cd_Se,Cd,Se,4,-0.024922
Cd_Te,Cd,Te,4,-0.005533
Cs_Br,Cs,Br,4,0.154029
Cs_Cl,Cs,Cl,4,0.162753
Cs_F,Cs,F,4,0.197912
Cs_I,Cs,I,4,0.13498
Cu_Br,Cu,Br,4,0.15181
Cu_Cl,Cu,Cl,4,0.17199
Cu_F,Cu,F,4,0.131082
Ga_As,Ga,As,4,0.450064
Ga_N,Ga,N,4,0.017558
Ga_P,Ga,P,4,0.04544
Ga_Sb,Ga,Sb,4,0.27146
Hg_O,Hg,O,4,0.779206
Hg_S,Hg,S,4,0.394521
Hg_Se,Hg,Se,4,0.369248
Hg_Te,Hg,Te,4,0.289513
In_As,In,As,4,0.475939
In_N,In,N,4,1.8553
In_P,In,P,4,0.509941
In_Sb,In,Sb,4,0.335711
K_Br,K,Br,4,0.147937
K_Cl,K,Cl,4,0.159541
K_F,K,F,4,0.185248
K_I,K,I,4,0.128876
Li_Br,Li,Br,4,0.153558
Li_Cl,Li,Cl,4,0.180788
Li_F,Li,F,4,0.207007
Li_I,Li,I,4,0.137751
Mg_O,Mg,O,4,0.067551
Mg_S,Mg,S,4,0.094081
Mg_Se,Mg,Se,4,0.065645
Mg_Te,Mg,Te,4,0.060885
Na_Br,Na,Br,4,0.125877
Na_Cl,Na,Cl,4,0.139815
Na_F,Na,F,4,0.143168
Na_I,Na,I,4,0.112526
Rb_Br,Rb,Br,4,0.148379
Rb_Cl,Rb,Cl,4,0.158612
Rb_F,Rb,F,4,0.181525
Rb_I,Rb,I,4,0.128404
Sr_O,Sr,O,4,0.125574
Sr_S,Sr,S,4,0.125017
Sr_Se,Sr,Se,4,0.109472
Sr_Te,Sr,Te,4,0.107467
Tl_As,Tl,As,4,1.266736
Tl_N,Tl,N,4,1.943413
Tl_P,Tl,P,4,0.348242
Tl_Sb,Tl,Sb,4,0.217842
Zn_O,Zn,O,4,1.832934
Zn_S,Zn,S,4,0.04553
Zn_Se,Zn,Se,4,0.014858
Zn_Te,Zn,Te,4,0.0196
