label,gap,atom1,atom2,s2_x,p1_x,p2_x,s1_y,s2_y,p1_y,p2_y,d1_y,d2_y,nbr
rs_Ba_O,0.049106,Ba,O,1.2644819999999999,0.5556979999999999,1.3899789999999999,1.7074639999999999,3.265053,2.208372,2.9026129999999997,3.976632,3.9766369999999998,6
rs_Ba_S,0.087392,Ba,S,1.2644819999999999,0.5556979999999999,1.3899789999999999,1.6584059999999998,2.681101,1.986056,2.4628059999999996,2.6661029999999997,2.6661029999999997,6
rs_Ba_Se,0.07249,Ba,Se,1.2644819999999999,0.5556979999999999,1.3899789999999999,1.629522,3.479084,1.9722629999999999,2.456526,2.5351929999999996,2.5351929999999996,6
rs_Ba_Te,0.07444,Ba,Te,1.2644819999999999,0.5556979999999999,1.3899789999999999,1.61292,2.621038,1.90326,2.2833129999999997,2.380302,2.3803039999999998,6
rs_Be_O,0.268681,Be,O,4.006145,4.14394,4.14394,4.628511,6.1861,5.129419,5.82366,6.897679,6.897684,6
rs_Be_S,0.199826,Be,S,4.006145,4.14394,4.14394,4.579453,5.602148,4.907103,5.383853,5.58715,5.58715,6
rs_Be_Se,0.138276,Be,Se,4.006145,4.14394,4.14394,4.550569,6.400131,4.89331,5.377573,5.45624,5.45624,6
rs_Be_Te,0.124387,Be,Te,4.006145,4.14394,4.14394,4.5339670000000005,5.542085,4.824307,5.20436,5.301349,5.301351,6
rs_Ca_O,0.088703,Ca,O,1.808248,0.7297150000000001,1.954045,2.334559,3.892148,2.8354670000000004,3.5297080000000003,4.603727,4.603732,6
rs_Ca_S,0.114966,Ca,S,1.808248,0.7297150000000001,1.954045,2.285501,3.308196,2.6131510000000002,3.0899010000000002,3.2931980000000003,3.2931980000000003,6
rs_Ca_Se,0.087896,Ca,Se,1.808248,0.7297150000000001,1.954045,2.2566170000000003,4.106179,2.599358,3.083621,3.162288,3.162288,6
rs_Ca_Te,0.089038,Ca,Te,1.808248,0.7297150000000001,1.954045,2.240015,3.248133,2.530355,2.9104080000000003,3.007397,3.0073990000000004,6
rs_Cs_Br,0.136349,Cs,Br,0.981429,0.487158,1.0609439999999999,0.745899,1.810638,1.172689,1.7051249999999998,1.9608940000000001,1.9608949999999998,6
rs_Cs_Cl,0.147382,Cs,Cl,0.981429,0.487158,1.0609439999999999,0.75871,2.510374,1.180024,1.742286,1.9080810000000001,1.9080849999999998,6
rs_Cs_F,0.165515,Cs,F,0.981429,0.487158,1.0609439999999999,0.592816,2.649736,1.261609,2.034182,3.28747,3.287489,6
rs_Cs_I,0.118184,Cs,I,0.981429,0.487158,1.0609439999999999,0.8039099999999999,4.383714,1.156979,1.5885310000000001,1.6457609999999998,1.6457639999999998,6
rs_K_Br,0.128548,K,Br,1.319421,0.6207099999999999,1.409974,1.111416,2.176155,1.538206,2.070642,2.3264110000000002,2.326412,6
rs_K_Cl,0.145871,K,Cl,1.319421,0.6207099999999999,1.409974,1.1242269999999999,2.875891,1.545541,2.1078029999999996,2.273598,2.273602,6
rs_K_F,0.163054,K,F,1.319421,0.6207099999999999,1.409974,0.958333,3.015253,1.627126,2.399699,3.652987,3.653006,6
rs_K_I,0.114855,K,I,1.319421,0.6207099999999999,1.409974,1.169427,4.749231,1.5224959999999998,1.954048,2.011278,2.011281,6
rs_Li_Br,0.159229,Li,Br,1.97743,2.067062,2.067062,1.789957,2.854696,2.216747,2.749183,3.0049520000000003,3.004953,6
rs_Li_Cl,0.207226,Li,Cl,1.97743,2.067062,2.067062,1.802768,3.5544320000000003,2.224082,2.7863439999999997,2.952139,2.952143,6
rs_Li_F,0.262086,Li,F,1.97743,2.067062,2.067062,1.636874,3.693794,2.305667,3.07824,4.3315280000000005,4.3315470000000005,6
rs_Li_I,0.143269,Li,I,1.97743,2.067062,2.067062,1.847968,5.427772,2.201037,2.6325890000000003,2.689819,2.689822,6
rs_Mg_O,0.107864,Mg,O,2.9867019999999997,1.2235269999999998,3.179032,3.6090619999999998,5.166651,4.10997,4.804211,5.87823,5.878235,6
rs_Mg_S,0.113955,Mg,S,2.9867019999999997,1.2235269999999998,3.179032,3.5600039999999997,4.582699,3.887654,4.3644039999999995,4.567701,4.567701,6
rs_Mg_Se,0.071453,Mg,Se,2.9867019999999997,1.2235269999999998,3.179032,3.5311199999999996,5.380682,3.8738609999999998,4.358124,4.4367909999999995,4.4367909999999995,6
rs_Mg_Te,0.06386,Mg,Te,2.9867019999999997,1.2235269999999998,3.179032,3.514518,4.522636,3.804858,4.184911,4.2819,4.281902,6
rs_Na_Br,0.120492,Na,Br,2.124184,1.046237,2.24027,1.9507,3.015439,2.37749,2.909926,3.1656950000000004,3.165696,6
rs_Na_Cl,0.148678,Na,Cl,2.124184,1.046237,2.24027,1.963511,3.7151750000000003,2.384825,2.947087,3.112882,3.112886,6
rs_Na_F,0.161254,Na,F,2.124184,1.046237,2.24027,1.797617,3.854537,2.46641,3.238983,4.492271000000001,4.492290000000001,6
rs_Na_I,0.110057,Na,I,2.124184,1.046237,2.24027,2.008711,5.588515,2.36178,2.7933320000000004,2.850562,2.850565,6
rs_Rb_Br,0.12575,Rb,Br,1.170768,0.591516,1.262311,0.9597870000000001,2.0245260000000003,1.386577,1.919013,2.174782,2.174783,6
rs_Rb_Cl,0.142452,Rb,Cl,1.170768,0.591516,1.262311,0.9725980000000001,2.724262,1.393912,1.9561739999999999,2.121969,2.121973,6
rs_Rb_F,0.156196,Rb,F,1.170768,0.591516,1.262311,0.8067040000000001,2.863624,1.475497,2.2480700000000002,3.501358,3.501377,6
rs_Rb_I,0.112942,Rb,I,1.170768,0.591516,1.262311,1.017798,4.597602,1.370867,1.802419,1.859649,1.859652,6
rs_Sr_O,0.051645,Sr,O,1.549414,0.678491,1.687498,2.0383519999999997,3.595941,2.53926,3.233501,4.30752,4.307525,6
rs_Sr_S,0.093508,Sr,S,1.549414,0.678491,1.687498,1.9892940000000001,3.011989,2.316944,2.793694,2.996991,2.996991,6
rs_Sr_Se,0.071649,Sr,Se,1.549414,0.678491,1.687498,1.96041,3.809972,2.3031509999999997,2.787414,2.866081,2.866081,6
rs_Sr_Te,0.076714,Sr,Te,1.549414,0.678491,1.687498,1.943808,2.9519260000000003,2.234148,2.614201,2.71119,2.711192,6
