label,pp,atom1,atom2,s2_x_x,p1_x_x,p2_x_x,s1_y_x,s2_y_x,p1_y_x,p2_y_x,d1_y_x,d2_y_x,s2_x_y,p1_x_y,p2_x_y,p3_x,p4_x,p5_x,p6_x,s1_y_y,s2_y_y,p1_y_y,p2_y_y,p3_y,p4_y,p5_y,p6_y,d1_y_y,d2_y_y,d3_y,d4_y,d5_y,nbr
Be_O,0.434006,Be,O,4.006145,4.14394,4.14394,4.628511,6.1861,5.129419,5.82366,6.897679,6.897684,3.694506,3.856542,3.856542,3.856542,3.856542,3.856542,3.856542,3.0382755,4.7794035,3.517776,3.600523,3.6434645000000003,4.374890000000001,4.420694,4.4573575000000005,5.331996,5.3410720000000005,5.345549,5.395059,5.4113050000000005,4
Mg_O,0.54089,Mg,O,2.9867019999999997,1.2235269999999998,3.179032,3.6090619999999998,5.166651,4.10997,4.804211,5.87823,5.878235,2.757533,1.2230139999999998,1.2230139999999998,1.2230139999999998,2.908773,2.908773,2.908773,2.0690185,3.8101465,2.5485189999999998,2.631266,2.6742074999999996,3.405633,3.451437,3.4881005,4.3627389999999995,4.371815,4.376291999999999,4.425802,4.442048,4
Ca_O,0.732601,Ca,O,1.808248,0.7297150000000001,1.954045,2.334559,3.892148,2.8354670000000004,3.5297080000000003,4.603727,4.603732,1.622906,0.7253029999999999,0.7253029999999999,0.7253029999999999,1.7187919999999999,1.7187919999999999,1.7187919999999999,0.8931134999999999,2.6342415,1.372614,1.455361,1.4983024999999999,2.2297279999999997,2.275532,2.3121954999999996,3.186834,3.1959099999999996,3.200387,3.249897,3.2661429999999996,4
Sr_O,0.683054,Sr,O,1.549414,0.678491,1.687498,2.0383519999999997,3.595941,2.53926,3.233501,4.30752,4.307525,1.373117,0.6709149999999999,0.6709149999999999,0.6709149999999999,1.461834,1.461834,1.461834,0.6258815,2.3670095,1.105382,1.188129,1.2310705,1.962496,2.0083,2.0449634999999997,2.9196020000000003,2.9286779999999997,2.933155,2.982665,2.9989109999999997,4
Ba_O,0.76942,Ba,O,1.2644819999999999,0.5556979999999999,1.3899789999999999,1.7074639999999999,3.265053,2.208372,2.9026129999999997,3.976632,3.9766369999999998,1.120324,0.5485439999999999,0.5485439999999999,0.5485439999999999,1.199578,1.199578,1.199578,0.3721905,2.1133185,0.851691,0.934438,0.9773795,1.708805,1.7546089999999999,1.7912724999999998,2.665911,2.674987,2.679464,2.728974,2.7452199999999998,4
Li_F,0.754253,Li,F,1.97743,2.067062,2.067062,1.636874,3.693794,2.305667,3.07824,4.3315280000000005,4.3315470000000005,1.835556,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,0.8120689999999999,2.9897894999999997,1.462335,1.5098915,1.535092,2.378974,2.3995165,2.4150045,3.5357624999999997,3.5434374999999996,3.5457780000000003,3.5709349999999995,3.5809974999999996,4
Na_F,0.703885,Na,F,2.124184,1.046237,2.24027,1.797617,3.854537,2.46641,3.238983,4.492271000000001,4.492290000000001,2.011682,1.0452309999999998,1.0452309999999998,1.0452309999999998,2.1063745,2.106375,2.1063764999999997,0.997709,3.1754295,1.647975,1.6955315,1.720732,2.5646139999999997,2.5851565,2.6006445,3.7214025,3.7290775,3.731418,3.7565749999999998,3.7666375,4
K_F,0.703124,K,F,1.319421,0.6207099999999999,1.409974,0.958333,3.015253,1.627126,2.399699,3.652987,3.653006,1.2364765,0.6187389999999999,0.6187389999999999,0.6187389999999999,1.3059195,1.3059205,1.3059205,0.21973900000000002,2.3974595,0.8700049999999999,0.9175614999999999,0.942762,1.786644,1.8071864999999998,1.8226745000000002,2.9434325,2.9511075,2.9534480000000003,2.978605,2.9886675,4
Rb_F,0.670703,Rb,F,1.170768,0.591516,1.262311,0.8067040000000001,2.863624,1.475497,2.2480700000000002,3.501358,3.501377,1.1022915,0.588916,0.588916,0.588916,1.169881,1.169881,1.169881,0.087198,2.2649185,0.7374639999999999,0.7850204999999999,0.810221,1.654103,1.6746455,1.6901335,2.8108915,2.8185664999999998,2.820907,2.8460639999999997,2.8561265,4
Cs_F,1.077726,Cs,F,0.981429,0.487158,1.0609439999999999,0.592816,2.649736,1.261609,2.034182,3.28747,3.287489,0.9125365,0.4843415,0.4843415,0.4843415,0.970568,0.9705685000000001,0.9705685000000001,-0.10679649999999996,2.0709239999999998,0.5434695,0.591026,0.6162265,1.4601085,1.480651,1.496139,2.616897,2.6245719999999997,2.6269125000000004,2.6520694999999996,2.6621319999999997,4
